,experiment_accession,study_accession,age,missing_metadata,cell_line,differentiated
387,SRX2018876,SRP081605,10,False,False,False
388,SRX2018806,SRP081605,10,False,False,False
389,SRX2018962,SRP081605,10,False,False,False
390,SRX2018844,SRP081605,10,False,False,False
391,SRX2018918,SRP081605,10,False,False,False
392,SRX2018952,SRP081605,10,False,False,False
393,SRX2018901,SRP081605,10,False,False,False
394,SRX2018904,SRP081605,10,False,False,False
395,SRX2018811,SRP081605,10,False,False,False
396,SRX2018890,SRP081605,10,False,False,False
397,SRX2018919,SRP081605,10,False,False,False
398,SRX2018833,SRP081605,10,False,False,False
399,SRX2018949,SRP081605,10,False,False,False
400,SRX2018866,SRP081605,10,False,False,False
401,SRX2018924,SRP081605,10,False,False,False
402,SRX2018964,SRP081605,10,False,False,False
403,SRX2018971,SRP081605,10,False,False,False
404,SRX2018854,SRP081605,10,False,False,False
405,SRX2018827,SRP081605,10,False,False,False
406,SRX2018926,SRP081605,10,False,False,False
407,SRX2018938,SRP081605,10,False,False,False
408,SRX2018871,SRP081605,10,False,False,False
409,SRX2018857,SRP081605,10,False,False,False
410,SRX2018814,SRP081605,10,False,False,False
411,SRX2018807,SRP081605,11,False,False,False
412,SRX2018972,SRP081605,11,False,False,False
413,SRX2018801,SRP081605,11,False,False,False
414,SRX2018873,SRP081605,11,False,False,False
415,SRX2018920,SRP081605,11,False,False,False
416,SRX2018858,SRP081605,11,False,False,False
417,SRX2018825,SRP081605,11,False,False,False
418,SRX2018813,SRP081605,11,False,False,False
419,SRX2018905,SRP081605,11,False,False,False
420,ERX1594905,ERP016409,11,False,False,False
421,SRX668466,SRP045207,11,False,False,False
422,SRX2018955,SRP081605,11,False,False,False
423,SRX2018867,SRP081605,11,False,False,False
424,SRX2018893,SRP081605,11,False,False,False
425,SRX2018914,SRP081605,11,False,False,False
426,SRX2018953,SRP081605,11,False,False,False
427,SRX2018939,SRP081605,11,False,False,False
428,SRX2018965,SRP081605,11,False,False,False
429,SRX2018856,SRP081605,12,False,False,False
430,SRX1640441,SRP071965,12,False,False,False
431,SRX2018937,SRP081605,12,False,False,False
432,SRX2018932,SRP081605,12,False,False,False
433,SRX1003370,SRP057545,12,False,False,False
434,SRX2018930,SRP081605,12,False,False,False
435,SRX2018963,SRP081605,12,False,False,False
436,SRX2018881,SRP081605,12,False,False,False
437,SRX2018885,SRP081605,12,False,False,False
438,SRX2018888,SRP081605,12,False,False,False
439,SRX1640440,SRP071965,12,False,False,False
440,SRX2018925,SRP081605,12,False,False,False
441,SRX2018840,SRP081605,12,False,False,False
442,SRX2018903,SRP081605,12,False,False,False
443,SRX2018800,SRP081605,12,False,False,False
444,SRX2018928,SRP081605,12,False,False,False
445,SRX2018838,SRP081605,12,False,False,False
446,SRX2018859,SRP081605,12,False,False,False
447,SRX2018975,SRP081605,12,False,False,False
448,SRX2018922,SRP081605,12,False,False,False
449,SRX2018970,SRP081605,12,False,False,False
450,SRX2018954,SRP081605,12,False,False,False
451,SRX2018795,SRP081605,12,False,False,False
452,SRX2018812,SRP081605,12,False,False,False
453,SRX1640443,SRP071965,12,False,False,False
454,SRX2018936,SRP081605,12,False,False,False
455,SRX2018832,SRP081605,12,False,False,False
456,SRX2018836,SRP081605,12,False,False,False
457,SRX1640442,SRP071965,12,False,False,False
458,SRX1640413,SRP071965,12,False,False,False
459,SRX2018877,SRP081605,12,False,False,False
460,SRX2018951,SRP081605,12,False,False,False
461,SRX2018790,SRP081605,12,False,False,False
462,SRX2018889,SRP081605,12,False,False,False
463,SRX668699,SRP045207,12,False,False,False
464,SRX2018865,SRP081605,12,False,False,False
465,SRX2018883,SRP081605,12,False,False,False
466,SRX2018793,SRP081605,12,False,False,False
467,SRX2018912,SRP081605,12,False,False,False
468,SRX2018792,SRP081605,12,False,False,False
469,SRX2018843,SRP081605,12,False,False,False
470,SRX2018906,SRP081605,12,False,False,False
471,SRX1640414,SRP071965,12,False,False,False
472,SRX2018829,SRP081605,12,False,False,False
473,SRX1640489,SRP071965,13,False,False,False
474,SRX1640421,SRP071965,13,False,False,False
475,SRX1640635,SRP071965,13,False,False,False
476,SRX1640430,SRP071965,13,False,False,False
477,SRX1640429,SRP071965,13,False,False,False
478,SRX1640490,SRP071965,13,False,False,False
479,SRX1640626,SRP071965,13,False,False,False
480,SRX1640487,SRP071965,13,False,False,False
481,SRX1640653,SRP071965,13,False,False,False
482,SRX2018797,SRP081605,13,False,False,False
483,SRX2018824,SRP081605,13,False,False,False
484,SRX2018879,SRP081605,13,False,False,False
485,SRX2018868,SRP081605,13,False,False,False
486,SRX2018828,SRP081605,13,False,False,False
487,SRX1640488,SRP071965,13,False,False,False
488,SRX1640628,SRP071965,13,False,False,False
489,SRX1640629,SRP071965,13,False,False,False
490,SRX1640625,SRP071965,13,False,False,False
491,SRX2018834,SRP081605,13,False,False,False
492,SRX1640461,SRP071965,13,False,False,False
493,SRX205688,SRP017262,13,False,False,False
494,SRX1640458,SRP071965,13,False,False,False
495,SRX1640460,SRP071965,13,False,False,False
496,SRX1640656,SRP071965,13,False,False,False
497,SRX1640459,SRP071965,13,False,False,False
498,SRX2018927,SRP081605,13,False,False,False
499,SRX1640634,SRP071965,13,False,False,False
500,SRX1640420,SRP071965,13,False,False,False
501,SRX1640624,SRP071965,13,False,False,False
502,SRX1640645,SRP071965,13,False,False,False
503,SRX1640431,SRP071965,13,False,False,False
504,SRX2018943,SRP081605,13,False,False,False
505,SRX2018915,SRP081605,13,False,False,False
506,SRX2018966,SRP081605,13,False,False,False
507,SRX1640419,SRP071965,13,False,False,False
508,SRX2018808,SRP081605,13,False,False,False
509,SRX1640627,SRP071965,13,False,False,False
510,SRX2018940,SRP081605,13,False,False,False
511,SRX2018895,SRP081605,13,False,False,False
512,SRX2018820,SRP081605,14,False,False,False
513,SRX1640677,SRP071965,14,False,False,False
514,SRX1640623,SRP071965,14,False,False,False
515,SRX1640638,SRP071965,14,False,False,False
516,SRX2018891,SRP081605,14,False,False,False
517,SRX2018933,SRP081605,14,False,False,False
518,SRX1640654,SRP071965,14,False,False,False
519,SRX1640691,SRP071965,14,False,False,False
520,SRX1640614,SRP071965,14,False,False,False
521,SRX1640632,SRP071965,14,False,False,False
522,SRX1640613,SRP071965,14,False,False,False
523,SRX2018886,SRP081605,14,False,False,False
524,SRX1640482,SRP071965,14,False,False,False
525,SRX1640433,SRP071965,14,False,False,False
526,SRX2018789,SRP081605,14,False,False,False
527,SRX2018900,SRP081605,14,False,False,False
528,SRX1640639,SRP071965,14,False,False,False
529,SRX1640631,SRP071965,14,False,False,False
530,SRX1356478,SRP065022,14,False,False,False
531,SRX1640484,SRP071965,14,False,False,False
532,SRX1640435,SRP071965,14,False,False,False
533,SRX2018853,SRP081605,14,False,False,False
534,SRX1640633,SRP071965,14,False,False,False
535,SRX2018794,SRP081605,14,False,False,False
536,SRX1640485,SRP071965,14,False,False,False
537,SRX1640432,SRP071965,14,False,False,False
538,SRX1640621,SRP071965,14,False,False,False
539,SRX1640744,SRP071965,14,False,False,False
540,SRX1640448,SRP071965,14,False,False,False
541,SRX1640477,SRP071965,14,False,False,False
542,SRX2018845,SRP081605,14,False,False,False
543,SRX1640436,SRP071965,14,False,False,False
544,SRX1640672,SRP071965,14,False,False,False
545,SRX1640437,SRP071965,14,False,False,False
546,SRX1640640,SRP071965,14,False,False,False
547,SRX2018948,SRP081605,14,False,False,False
